t,AntennaId,EventCode,PhoneId,x,y,TileId,time
0,227,0,296,600995.281445,652785.571876,1147,1588344123.0
0,227,0,297,600995.281445,652785.571876,1147,1588344123.0
0,194,0,289,600384.426337,650135.919067,439,1588344123.0
0,180,0,257,600901.5542819999,651774.870814,876,1588344123.0
0,161,0,259,600203.0787020001,651730.08,869,1588344123.0
0,159,0,230,601129.055069,653193.9500760001,1256,1588344123.0
0,156,0,283,602103.592967,649742.183146,348,1588344123.0
0,156,0,284,602103.592967,649742.183146,348,1588344123.0
0,142,0,268,600564.455101,652729.315347,1142,1588344123.0
0,133,0,241,601462.6948470001,648964.107958,125,1588344123.0
0,133,0,242,601462.6948470001,648964.107958,125,1588344123.0
0,131,0,234,601514.911596,650068.348954,423,1588344123.0
0,101,0,273,600216.462154,649458.409534,248,1588344123.0
0,79,0,291,600509.61435,651407.6580279999,791,1588344123.0
0,79,0,292,600509.61435,651407.6580279999,791,1588344123.0
0,77,0,270,600008.765087,650833.277593,624,1588344123.0
0,63,0,299,600431.3578850001,648956.498195,115,1588344123.0
0,39,0,276,601136.553094,649742.96542,338,1588344123.0
0,23,0,245,600110.959703,651829.085065,895,1588344123.0
0,23,0,246,600110.959703,651829.085065,895,1588344123.0
0,10,0,253,600714.924071,649097.22544,145,1588344123.0
0,5,0,280,599917.3147260001,648764.937245,56,1588344123.0
1,227,1,297,600855.708095,652890.405888,1172,1588344183.0
1,227,1,296,600855.708095,652890.405888,1172,1588344183.0
1,212,0,273,599767.764248,650111.852675,432,1588344183.0
1,194,2,289,600384.426337,650135.919067,439,1588344183.0
1,188,0,253,600598.953909,649243.843553,198,1588344183.0
1,180,1,257,600780.251541,651912.216713,929,1588344183.0
1,161,1,259,600078.941324,651854.245087,895,1588344183.0
1,159,2,230,601129.055069,653193.9500760001,1256,1588344183.0
1,156,1,284,601958.740413,649895.0128949999,373,1588344183.0
1,156,1,283,601958.740413,649895.0128949999,373,1588344183.0
1,142,2,268,600564.455101,652729.315347,1142,1588344183.0
1,133,1,242,600736.867391,649689.33519,307,1588344183.0
1,133,1,241,600736.867391,649689.33519,307,1588344183.0
1,131,2,234,601514.911596,650068.348954,423,1588344183.0
1,101,1,273,599767.764248,650111.852675,432,1588344183.0
1,89,0,257,600780.251541,651912.216713,929,1588344183.0
1,79,2,292,600364.633387,651523.163791,816,1588344183.0
1,79,2,291,600364.633387,651523.163791,816,1588344183.0
1,77,2,270,600008.765087,650833.277593,624,1588344183.0
1,66,0,299,600319.176858,649061.334547,141,1588344183.0
1,64,0,242,600736.867391,649689.33519,307,1588344183.0
1,64,0,241,600736.867391,649689.33519,307,1588344183.0
1,63,1,299,600319.176858,649061.334547,141,1588344183.0
1,57,0,284,601958.740413,649895.0128949999,373,1588344183.0
1,57,0,283,601958.740413,649895.0128949999,373,1588344183.0
1,39,1,276,601026.924381,649883.108971,364,1588344183.0
1,31,0,297,600855.708095,652890.405888,1172,1588344183.0
1,31,0,296,600855.708095,652890.405888,1172,1588344183.0
1,23,0,259,600078.941324,651854.245087,895,1588344183.0
1,23,2,246,599987.8326760001,651933.067514,921,1588344183.0
1,23,2,245,599987.8326760001,651933.067514,921,1588344183.0
1,10,1,253,600598.953909,649243.843553,198,1588344183.0
1,9,0,276,601026.924381,649883.108971,364,1588344183.0
1,5,2,280,599771.940531,648894.482459,81,1588344183.0
2,212,2,273,599767.764248,650111.852675,432,1588344243.0
2,194,2,289,600384.426337,650135.919067,439,1588344243.0
2,190,0,242,600008.5867699999,650412.098893,516,1588344243.0
2,190,0,241,600008.5867699999,650412.098893,516,1588344243.0
2,188,1,253,600464.137508,649373.344469,223,1588344243.0
2,176,0,257,600658.07369,652048.784732,954,1588344243.0
2,170,0,284,601786.220382,650015.7441380001,426,1588344243.0
2,170,0,283,601786.220382,650015.7441380001,426,1588344243.0
2,161,0,292,600240.900504,651661.1900010001,842,1588344243.0
2,161,0,291,600240.900504,651661.1900010001,842,1588344243.0
2,161,0,268,600249.086878,651734.235542,869,1588344243.0
2,159,0,297,600752.336562,653031.065819,1225,1588344243.0
2,159,0,296,600752.336562,653031.065819,1225,1588344243.0
2,159,2,230,601129.055069,653193.9500760001,1256,1588344243.0
2,142,1,268,600249.086878,651734.235542,869,1588344243.0
2,131,2,234,601514.911596,650068.348954,423,1588344243.0
2,99,0,299,600200.989607,649159.34994,167,1588344243.0
2,99,0,253,600464.137508,649373.344469,223,1588344243.0
2,89,1,257,600658.07369,652048.784732,954,1588344243.0
2,79,1,292,600240.900504,651661.1900010001,842,1588344243.0
2,79,1,291,600240.900504,651661.1900010001,842,1588344243.0
2,77,1,270,600843.2335229999,651348.733208,767,1588344243.0
2,66,1,299,600200.989607,649159.34994,167,1588344243.0
2,64,1,242,600008.5867699999,650412.098893,516,1588344243.0
2,64,1,241,600008.5867699999,650412.098893,516,1588344243.0
2,57,1,284,601786.220382,650015.7441380001,426,1588344243.0
2,57,1,283,601786.220382,650015.7441380001,426,1588344243.0
2,32,0,270,600843.2335229999,651348.733208,767,1588344243.0
2,31,1,297,600752.336562,653031.065819,1225,1588344243.0
2,31,1,296,600752.336562,653031.065819,1225,1588344243.0
2,23,2,259,600078.941324,651854.245087,895,1588344243.0
2,23,2,246,599987.8326760001,651933.067514,921,1588344243.0
2,23,2,245,599987.8326760001,651933.067514,921,1588344243.0
2,9,2,276,601026.924381,649883.108971,364,1588344243.0
2,5,2,280,599771.940531,648894.482459,81,1588344243.0
3,212,1,273,600292.794358,650705.705462,600,1588344303.0
3,194,2,289,600384.426337,650135.919067,439,1588344303.0
3,190,2,242,600008.5867699999,650412.098893,516,1588344303.0
3,190,2,241,600008.5867699999,650412.098893,516,1588344303.0
3,176,2,257,600520.550439,652169.886369,980,1588344303.0
3,175,0,268,601071.9875449999,651091.993044,688,1588344303.0
3,170,1,284,601625.469723,650151.7530350001,451,1588344303.0
3,170,1,283,601625.469723,650151.7530350001,451,1588344303.0
3,161,2,292,600096.094826,651776.915437,868,1588344303.0
3,161,2,291,600096.094826,651776.915437,868,1588344303.0
3,161,1,268,601071.9875449999,651091.993044,688,1588344303.0
3,159,1,297,600632.1856140001,653157.6937770001,1251,1588344303.0
3,159,1,296,600632.1856140001,653157.6937770001,1251,1588344303.0
3,159,2,230,601129.055069,653193.9500760001,1256,1588344303.0
3,131,2,234,601514.911596,650068.348954,423,1588344303.0
3,103,0,273,600292.794358,650705.705462,600,1588344303.0
3,101,0,299,600098.666177,649273.8277060001,193,1588344303.0
3,99,1,299,600098.666177,649273.8277060001,193,1588344303.0
3,99,1,253,600334.801717,649508.319291,276,1588344303.0
3,82,0,253,600334.801717,649508.319291,276,1588344303.0
3,61,0,270,600657.792821,650385.5905350001,495,1588344303.0
3,50,0,280,599966.130508,648880.134212,83,1588344303.0
3,47,0,284,601625.469723,650151.7530350001,451,1588344303.0
3,47,0,283,601625.469723,650151.7530350001,451,1588344303.0
3,35,0,297,600632.1856140001,653157.6937770001,1251,1588344303.0
3,35,0,296,600632.1856140001,653157.6937770001,1251,1588344303.0
3,32,1,270,600657.792821,650385.5905350001,495,1588344303.0
3,23,2,259,600078.941324,651854.245087,895,1588344303.0
3,23,2,246,599987.8326760001,651933.067514,921,1588344303.0
3,23,2,245,599987.8326760001,651933.067514,921,1588344303.0
3,9,2,276,601026.924381,649883.108971,364,1588344303.0
3,5,1,280,599966.130508,648880.134212,83,1588344303.0
4,200,0,242,600131.509695,651430.759772,787,1588344363.0
4,200,0,241,600131.509695,651430.759772,787,1588344363.0
4,194,2,289,600384.426337,650135.919067,439,1588344363.0
4,190,1,242,600131.509695,651430.759772,787,1588344363.0
4,190,1,241,600131.509695,651430.759772,787,1588344363.0
4,179,0,257,600377.137792,652283.9524180001,1005,1588344363.0
4,177,0,230,601162.302202,652195.8456550001,986,1588344363.0
4,176,1,257,600377.137792,652283.9524180001,1005,1588344363.0
4,175,1,268,601159.1447470001,650051.779337,419,1588344363.0
4,171,0,284,601474.697887,650298.746395,476,1588344363.0
4,171,0,283,601474.697887,650298.746395,476,1588344363.0
4,161,1,292,599952.166551,651893.7303020001,893,1588344363.0
4,161,1,291,599952.166551,651893.7303020001,893,1588344363.0
4,159,1,230,601162.302202,652195.8456550001,986,1588344363.0
4,140,0,253,600216.83407,649653.335096,302,1588344363.0
4,131,2,234,601514.911596,650068.348954,423,1588344363.0
4,126,0,268,601159.1447470001,650051.779337,419,1588344363.0
4,110,0,273,600195.7449899999,649919.004013,383,1588344363.0
4,103,1,273,600195.7449899999,649919.004013,383,1588344363.0
4,101,1,299,599999.6431430001,649391.171996,219,1588344363.0
4,82,1,253,600216.83407,649653.335096,302,1588344363.0
4,72,0,299,599999.6431430001,649391.171996,219,1588344363.0
4,71,0,280,600159.609128,648858.18785,85,1588344363.0
4,61,1,270,601457.3144350001,649817.438046,368,1588344363.0
4,50,1,280,600159.609128,648858.18785,85,1588344363.0
4,47,1,284,601474.697887,650298.746395,476,1588344363.0
4,47,1,283,601474.697887,650298.746395,476,1588344363.0
4,43,0,270,601457.3144350001,649817.438046,368,1588344363.0
4,35,2,297,600493.007166,653263.0514989999,1277,1588344363.0
4,35,2,296,600493.007166,653263.0514989999,1277,1588344363.0
4,23,0,292,599952.166551,651893.7303020001,893,1588344363.0
4,23,0,291,599952.166551,651893.7303020001,893,1588344363.0
4,23,2,259,600078.941324,651854.245087,895,1588344363.0
4,23,2,246,599987.8326760001,651933.067514,921,1588344363.0
4,23,2,245,599987.8326760001,651933.067514,921,1588344363.0
4,9,2,276,601026.924381,649883.108971,364,1588344363.0
5,200,1,242,601153.1661800001,651525.617877,824,1588344423.0
5,200,1,241,601153.1661800001,651525.617877,824,1588344423.0
5,197,0,230,600660.717662,651332.288618,765,1588344423.0
5,194,2,289,600384.426337,650135.919067,439,1588344423.0
5,179,1,257,600242.4295020001,652408.177728,1058,1588344423.0
5,177,1,230,600660.717662,651332.288618,765,1588344423.0
5,171,1,284,601326.463487,650448.298249,529,1588344423.0
5,171,1,283,601326.463487,650448.298249,529,1588344423.0
5,140,1,253,600091.015093,649791.594036,328,1588344423.0
5,137,0,297,600373.529431,653390.3148520001,1302,1588344423.0
5,137,0,296,600373.529431,653390.3148520001,1302,1588344423.0
5,131,2,234,601514.911596,650068.348954,423,1588344423.0
5,130,0,257,600242.4295020001,652408.177728,1058,1588344423.0
5,126,2,268,601159.1447470001,650051.779337,419,1588344423.0
5,125,0,242,601153.1661800001,651525.617877,824,1588344423.0
5,125,0,241,601153.1661800001,651525.617877,824,1588344423.0
5,110,2,273,600195.7449899999,649919.004013,383,1588344423.0
5,110,0,253,600091.015093,649791.594036,328,1588344423.0
5,72,2,299,599903.437672,649510.837157,272,1588344423.0
5,71,2,280,600255.040228,649027.91859,140,1588344423.0
5,58,0,284,601326.463487,650448.298249,529,1588344423.0
5,58,0,283,601326.463487,650448.298249,529,1588344423.0
5,43,2,270,601457.3144350001,649817.438046,368,1588344423.0
5,35,1,297,600373.529431,653390.3148520001,1302,1588344423.0
5,35,1,296,600373.529431,653390.3148520001,1302,1588344423.0
5,23,2,292,599952.166551,651893.7303020001,893,1588344423.0
5,23,2,291,599952.166551,651893.7303020001,893,1588344423.0
5,23,2,259,600078.941324,651854.245087,895,1588344423.0
5,23,2,246,599987.8326760001,651933.067514,921,1588344423.0
5,23,2,245,599987.8326760001,651933.067514,921,1588344423.0
5,9,2,276,601026.924381,649883.108971,364,1588344423.0
6,201,0,268,600410.273702,650778.9884489999,601,1588344483.0
6,199,0,292,599970.87655,651709.309596,866,1588344483.0
6,199,0,291,599970.87655,651709.309596,866,1588344483.0
6,197,1,230,600971.5713109999,652281.334357,1011,1588344483.0
6,194,2,289,600384.426337,650135.919067,439,1588344483.0
6,177,0,230,600971.5713109999,652281.334357,1011,1588344483.0
6,137,1,297,600252.471518,653516.076022,1355,1588344483.0
6,137,1,296,600252.471518,653516.076022,1355,1588344483.0
6,131,2,234,601514.911596,650068.348954,423,1588344483.0
6,130,1,257,600141.00525,652560.792839,1084,1588344483.0
6,126,1,268,600410.273702,650778.9884489999,601,1588344483.0
6,125,2,242,601153.1661800001,651525.617877,824,1588344483.0
6,125,2,241,601153.1661800001,651525.617877,824,1588344483.0
6,117,0,297,600252.471518,653516.076022,1355,1588344483.0
6,117,0,296,600252.471518,653516.076022,1355,1588344483.0
6,114,0,270,600831.599683,650572.761229,551,1588344483.0
6,110,2,273,600195.7449899999,649919.004013,383,1588344483.0
6,110,2,253,600091.015093,649791.594036,328,1588344483.0
6,87,0,299,599799.3181520001,649623.683818,298,1588344483.0
6,72,1,299,599799.3181520001,649623.683818,298,1588344483.0
6,71,2,280,600255.040228,649027.91859,140,1588344483.0
6,58,2,284,601197.974211,650615.12061,582,1588344483.0
6,58,2,283,601197.974211,650615.12061,582,1588344483.0
6,54,0,257,600141.00525,652560.792839,1084,1588344483.0
6,43,1,270,600831.599683,650572.761229,551,1588344483.0
6,23,1,292,599970.87655,651709.309596,866,1588344483.0
6,23,1,291,599970.87655,651709.309596,866,1588344483.0
6,23,2,259,600078.941324,651854.245087,895,1588344483.0
6,23,2,246,599987.8326760001,651933.067514,921,1588344483.0
6,23,2,245,599987.8326760001,651933.067514,921,1588344483.0
6,9,2,276,601026.924381,649883.108971,364,1588344483.0
7,201,2,268,600410.273702,650778.9884489999,601,1588344543.0
7,199,1,292,600014.747555,651529.208524,813,1588344543.0
7,199,1,291,600014.747555,651529.208524,813,1588344543.0
7,194,2,289,600384.426337,650135.919067,439,1588344543.0
7,179,0,242,600408.470275,652231.456416,1006,1588344543.0
7,179,0,241,600408.470275,652231.456416,1006,1588344543.0
7,177,2,230,600971.5713109999,652281.334357,1011,1588344543.0
7,147,0,292,600014.747555,651529.208524,813,1588344543.0
7,147,0,291,600014.747555,651529.208524,813,1588344543.0
7,131,2,234,601514.911596,650068.348954,423,1588344543.0
7,125,1,242,600408.470275,652231.456416,1006,1588344543.0
7,125,1,241,600408.470275,652231.456416,1006,1588344543.0
7,117,2,297,600252.471518,653516.076022,1355,1588344543.0
7,117,2,296,600252.471518,653516.076022,1355,1588344543.0
7,114,1,270,600129.08902,651257.23974,733,1588344543.0
7,110,2,273,600195.7449899999,649919.004013,383,1588344543.0
7,110,2,253,600091.015093,649791.594036,328,1588344543.0
7,87,2,299,599799.3181520001,649623.683818,298,1588344543.0
7,80,0,270,600129.08902,651257.23974,733,1588344543.0
7,71,2,280,600255.040228,649027.91859,140,1588344543.0
7,58,1,284,601056.522961,650771.103744,607,1588344543.0
7,58,1,283,601056.522961,650771.103744,607,1588344543.0
7,54,2,257,600141.00525,652560.792839,1084,1588344543.0
7,23,2,259,600078.941324,651854.245087,895,1588344543.0
7,23,2,246,599987.8326760001,651933.067514,921,1588344543.0
7,23,2,245,599987.8326760001,651933.067514,921,1588344543.0
7,13,0,284,601056.522961,650771.103744,607,1588344543.0
7,13,0,283,601056.522961,650771.103744,607,1588344543.0
7,9,2,276,601026.924381,649883.108971,364,1588344543.0
8,201,2,268,600410.273702,650778.9884489999,601,1588344603.0
8,200,0,292,600135.900138,651388.912008,760,1588344603.0
8,200,0,291,600135.900138,651388.912008,760,1588344603.0
8,194,2,289,600384.426337,650135.919067,439,1588344603.0
8,179,2,242,600408.470275,652231.456416,1006,1588344603.0
8,179,2,241,600408.470275,652231.456416,1006,1588344603.0
8,177,1,230,600273.755739,652995.73707,1193,1588344603.0
8,148,0,230,600273.755739,652995.73707,1193,1588344603.0
8,147,1,292,600135.900138,651388.912008,760,1588344603.0
8,147,1,291,600135.900138,651388.912008,760,1588344603.0
8,144,0,257,600102.536634,652381.632529,1030,1588344603.0
8,137,0,297,600361.36907,653379.6494359999,1302,1588344603.0
8,137,0,296,600361.36907,653379.6494359999,1302,1588344603.0
8,131,2,234,601514.911596,650068.348954,423,1588344603.0
8,117,1,297,600361.36907,653379.6494359999,1302,1588344603.0
8,117,1,296,600361.36907,653379.6494359999,1302,1588344603.0
8,110,2,273,600195.7449899999,649919.004013,383,1588344603.0
8,110,2,253,600091.015093,649791.594036,328,1588344603.0
8,105,0,284,600929.818494,650939.285706,660,1588344603.0
8,105,0,283,600929.818494,650939.285706,660,1588344603.0
8,87,1,299,599830.792487,649473.40205,244,1588344603.0
8,80,2,270,600129.08902,651257.23974,733,1588344603.0
8,72,0,299,599830.792487,649473.40205,244,1588344603.0
8,71,2,280,600255.040228,649027.91859,140,1588344603.0
8,54,1,257,600102.536634,652381.632529,1030,1588344603.0
8,23,2,259,600078.941324,651854.245087,895,1588344603.0
8,23,2,246,599987.8326760001,651933.067514,921,1588344603.0
8,23,2,245,599987.8326760001,651933.067514,921,1588344603.0
8,13,1,284,600929.818494,650939.285706,660,1588344603.0
8,13,1,283,600929.818494,650939.285706,660,1588344603.0
8,9,2,276,601026.924381,649883.108971,364,1588344603.0
9,201,2,268,600410.273702,650778.9884489999,601,1588344663.0
9,200,2,292,600315.863493,651344.4794569999,762,1588344663.0
9,200,2,291,600315.863493,651344.4794569999,762,1588344663.0
9,194,2,289,600384.426337,650135.919067,439,1588344663.0
9,187,0,270,600272.3340609999,650286.9238529999,464,1588344663.0
9,179,2,242,600408.470275,652231.456416,1006,1588344663.0
9,179,2,241,600408.470275,652231.456416,1006,1588344663.0
9,148,2,230,600273.755739,652995.73707,1193,1588344663.0
9,144,1,257,600146.523181,652559.518545,1084,1588344663.0
9,137,2,297,600361.36907,653379.6494359999,1302,1588344663.0
9,137,2,296,600361.36907,653379.6494359999,1302,1588344663.0
9,131,2,234,601514.911596,650068.348954,423,1588344663.0
9,110,2,273,600195.7449899999,649919.004013,383,1588344663.0
9,110,2,253,600091.015093,649791.594036,328,1588344663.0
9,105,1,284,600785.2230560001,651092.3587399999,686,1588344663.0
9,105,1,283,600785.2230560001,651092.3587399999,686,1588344663.0
9,92,0,284,600785.2230560001,651092.3587399999,686,1588344663.0
9,92,0,283,600785.2230560001,651092.3587399999,686,1588344663.0
9,80,1,270,600272.3340609999,650286.9238529999,464,1588344663.0
9,72,2,299,599743.2561369999,649599.5473270001,270,1588344663.0
9,71,2,280,600255.040228,649027.91859,140,1588344663.0
9,54,0,257,600146.523181,652559.518545,1084,1588344663.0
9,23,2,259,600078.941324,651854.245087,895,1588344663.0
9,23,2,246,599987.8326760001,651933.067514,921,1588344663.0
9,23,2,245,599987.8326760001,651933.067514,921,1588344663.0
9,9,2,276,601026.924381,649883.108971,364,1588344663.0
10,201,2,268,600410.273702,650778.9884489999,601,1588344723.0
10,200,1,292,600328.443771,651159.539474,708,1588344723.0
10,200,1,291,600328.443771,651159.539474,708,1588344723.0
10,197,0,284,600639.327129,651244.19277,738,1588344723.0
10,197,0,283,600639.327129,651244.19277,738,1588344723.0
10,194,2,289,600384.426337,650135.919067,439,1588344723.0
10,187,1,270,600228.593521,649307.0673189999,221,1588344723.0
10,179,2,242,600408.470275,652231.456416,1006,1588344723.0
10,179,2,241,600408.470275,652231.456416,1006,1588344723.0
10,148,1,230,600786.767062,652138.9190090001,983,1588344723.0
10,137,2,297,600361.36907,653379.6494359999,1302,1588344723.0
10,137,2,296,600361.36907,653379.6494359999,1302,1588344723.0
10,131,2,234,601514.911596,650068.348954,423,1588344723.0
10,130,0,257,600281.161412,652435.217307,1059,1588344723.0
10,110,2,273,600195.7449899999,649919.004013,383,1588344723.0
10,110,2,253,600091.015093,649791.594036,328,1588344723.0
10,99,0,270,600228.593521,649307.0673189999,221,1588344723.0
10,92,1,284,600639.327129,651244.19277,738,1588344723.0
10,92,1,283,600639.327129,651244.19277,738,1588344723.0
10,72,2,299,599743.2561369999,649599.5473270001,270,1588344723.0
10,71,2,280,600255.040228,649027.91859,140,1588344723.0
10,54,1,257,600281.161412,652435.217307,1059,1588344723.0
10,23,2,259,600078.941324,651854.245087,895,1588344723.0
10,23,2,246,599987.8326760001,651933.067514,921,1588344723.0
10,23,2,245,599987.8326760001,651933.067514,921,1588344723.0
10,22,0,292,600328.443771,651159.539474,708,1588344723.0
10,22,0,291,600328.443771,651159.539474,708,1588344723.0
10,17,0,230,600786.767062,652138.9190090001,983,1588344723.0
10,9,2,276,601026.924381,649883.108971,364,1588344723.0
11,201,2,268,600410.273702,650778.9884489999,601,1588344783.0
11,197,1,284,600498.343063,651400.598293,764,1588344783.0
11,197,1,283,600498.343063,651400.598293,764,1588344783.0
11,194,2,289,600384.426337,650135.919067,439,1588344783.0
11,179,1,242,600329.10415,651208.479851,735,1588344783.0
11,179,1,241,600329.10415,651208.479851,735,1588344783.0
11,148,0,230,600284.643085,653002.162496,1221,1588344783.0
11,137,2,297,600361.36907,653379.6494359999,1302,1588344783.0
11,137,2,296,600361.36907,653379.6494359999,1302,1588344783.0
11,131,2,234,601514.911596,650068.348954,423,1588344783.0
11,130,1,257,600206.120396,652268.043455,1004,1588344783.0
11,110,2,273,600195.7449899999,649919.004013,383,1588344783.0
11,110,2,253,600091.015093,649791.594036,328,1588344783.0
11,104,0,292,600484.5779479999,651059.62361,683,1588344783.0
11,104,0,291,600484.5779479999,651059.62361,683,1588344783.0
11,99,2,270,600228.593521,649307.0673189999,221,1588344783.0
11,79,0,284,600498.343063,651400.598293,764,1588344783.0
11,79,0,283,600498.343063,651400.598293,764,1588344783.0
11,72,2,299,599743.2561369999,649599.5473270001,270,1588344783.0
11,71,2,280,600255.040228,649027.91859,140,1588344783.0
11,23,2,259,600078.941324,651854.245087,895,1588344783.0
11,23,2,246,599987.8326760001,651933.067514,921,1588344783.0
11,23,2,245,599987.8326760001,651933.067514,921,1588344783.0
