Antenna_Id,x,y,geometry
10,600714.924071,649097.22544,POINT (600714.924071 649097.22544)
23,600110.959703,651829.085065,POINT (600110.959703 651829.085065)
5,599917.3147260001,648764.937245,POINT (599917.3147260001 648764.937245)
39,601136.553094,649742.96542,POINT (601136.553094 649742.96542)
63,600431.3578850001,648956.498195,POINT (600431.3578850001 648956.498195)
156,602103.592967,649742.183146,POINT (602103.592967 649742.183146)
101,600216.462154,649458.409534,POINT (600216.4621539999 649458.409534)
79,600509.61435,651407.6580279999,POINT (600509.61435 651407.6580279999)
77,600008.765087,650833.277593,POINT (600008.765087 650833.277593)
227,600995.281445,652785.571876,POINT (600995.281445 652785.571876)
161,600203.0787020001,651730.08,POINT (600203.0787020001 651730.08)
194,600384.426337,650135.919067,POINT (600384.426337 650135.919067)
159,601129.055069,653193.9500760001,POINT (601129.055069 653193.9500760001)
142,600564.455101,652729.315347,POINT (600564.455101 652729.315347)
133,601462.6948470001,648964.107958,POINT (601462.6948470001 648964.107958)
180,600901.5542819999,651774.870814,POINT (600901.5542819999 651774.870814)
131,601514.911596,650068.348954,POINT (601514.911596 650068.348954)
64,600736.867391,649689.33519,POINT (600736.867391 649689.33519)
79,600364.633387,651523.163791,POINT (600364.633387 651523.163791)
188,600598.953909,649243.843553,POINT (600598.953909 649243.843553)
66,600319.176858,649061.334547,POINT (600319.176858 649061.334547)
212,599767.764248,650111.852675,POINT (599767.764248 650111.852675)
133,600736.867391,649689.33519,POINT (600736.867391 649689.33519)
227,600855.708095,652890.405888,POINT (600855.708095 652890.405888)
180,600780.251541,651912.216713,POINT (600780.251541 651912.216713)
31,600855.708095,652890.405888,POINT (600855.708095 652890.405888)
63,600319.176858,649061.334547,POINT (600319.176858 649061.334547)
23,599987.8326760001,651933.067514,POINT (599987.8326760001 651933.067514)
156,601958.740413,649895.0128949999,POINT (601958.740413 649895.0128949999)
9,601026.924381,649883.108971,POINT (601026.924381 649883.108971)
5,599771.940531,648894.482459,POINT (599771.940531 648894.482459)
23,600078.941324,651854.245087,POINT (600078.941324 651854.245087)
39,601026.924381,649883.108971,POINT (601026.924381 649883.108971)
57,601958.740413,649895.0128949999,POINT (601958.740413 649895.0128949999)
10,600598.953909,649243.843553,POINT (600598.953909 649243.843553)
89,600780.251541,651912.216713,POINT (600780.251541 651912.216713)
161,600078.941324,651854.245087,POINT (600078.941324 651854.245087)
101,599767.764248,650111.852675,POINT (599767.764248 650111.852675)
99,600200.989607,649159.34994,POINT (600200.989607 649159.34994)
161,600240.900504,651661.1900010001,POINT (600240.900504 651661.1900010001)
64,600008.5867699999,650412.098893,POINT (600008.5867699999 650412.098893)
159,600752.336562,653031.065819,POINT (600752.336562 653031.065819)
142,600249.086878,651734.235542,POINT (600249.0868779999 651734.235542)
161,600249.086878,651734.235542,POINT (600249.0868779999 651734.235542)
31,600752.336562,653031.065819,POINT (600752.336562 653031.065819)
57,601786.220382,650015.7441380001,POINT (601786.220382 650015.7441380001)
188,600464.137508,649373.344469,POINT (600464.137508 649373.344469)
79,600240.900504,651661.1900010001,POINT (600240.900504 651661.1900010001)
190,600008.5867699999,650412.098893,POINT (600008.5867699999 650412.098893)
176,600658.07369,652048.784732,POINT (600658.07369 652048.784732)
32,600843.2335229999,651348.733208,POINT (600843.2335229999 651348.733208)
66,600200.989607,649159.34994,POINT (600200.989607 649159.34994)
77,600843.2335229999,651348.733208,POINT (600843.2335229999 651348.733208)
89,600658.07369,652048.784732,POINT (600658.07369 652048.784732)
170,601786.220382,650015.7441380001,POINT (601786.220382 650015.7441380001)
99,600464.137508,649373.344469,POINT (600464.137508 649373.344469)
61,600657.792821,650385.5905350001,POINT (600657.792821 650385.5905350001)
35,600632.1856140001,653157.6937770001,POINT (600632.1856140001 653157.6937770001)
161,601071.9875449999,651091.993044,POINT (601071.9875449999 651091.993044)
101,600098.666177,649273.8277060001,POINT (600098.666177 649273.8277060001)
32,600657.792821,650385.5905350001,POINT (600657.792821 650385.5905350001)
99,600098.666177,649273.8277060001,POINT (600098.666177 649273.8277060001)
161,600096.094826,651776.915437,POINT (600096.094826 651776.915437)
5,599966.130508,648880.134212,POINT (599966.130508 648880.1342119999)
170,601625.469723,650151.7530350001,POINT (601625.469723 650151.7530350001)
47,601625.469723,650151.7530350001,POINT (601625.469723 650151.7530350001)
159,600632.1856140001,653157.6937770001,POINT (600632.1856140001 653157.6937770001)
50,599966.130508,648880.134212,POINT (599966.130508 648880.1342119999)
103,600292.794358,650705.705462,POINT (600292.794358 650705.705462)
99,600334.801717,649508.319291,POINT (600334.801717 649508.319291)
175,601071.9875449999,651091.993044,POINT (601071.9875449999 651091.993044)
212,600292.794358,650705.705462,POINT (600292.794358 650705.705462)
176,600520.550439,652169.886369,POINT (600520.550439 652169.886369)
82,600334.801717,649508.319291,POINT (600334.801717 649508.319291)
161,599952.166551,651893.7303020001,POINT (599952.166551 651893.7303020001)
103,600195.7449899999,649919.004013,POINT (600195.7449899999 649919.0040130001)
176,600377.137792,652283.9524180001,POINT (600377.137792 652283.9524180001)
177,601162.302202,652195.8456550001,POINT (601162.302202 652195.8456550001)
61,601457.3144350001,649817.438046,POINT (601457.3144350001 649817.438046)
200,600131.509695,651430.759772,POINT (600131.509695 651430.759772)
140,600216.83407,649653.335096,POINT (600216.83407 649653.335096)
101,599999.6431430001,649391.171996,POINT (599999.6431430001 649391.171996)
23,599952.166551,651893.7303020001,POINT (599952.166551 651893.7303020001)
171,601474.697887,650298.746395,POINT (601474.697887 650298.746395)
35,600493.007166,653263.0514989999,POINT (600493.007166 653263.0514989999)
175,601159.1447470001,650051.779337,POINT (601159.1447470001 650051.779337)
190,600131.509695,651430.759772,POINT (600131.509695 651430.759772)
43,601457.3144350001,649817.438046,POINT (601457.3144350001 649817.438046)
72,599999.6431430001,649391.171996,POINT (599999.6431430001 649391.171996)
82,600216.83407,649653.335096,POINT (600216.83407 649653.335096)
47,601474.697887,650298.746395,POINT (601474.697887 650298.746395)
179,600377.137792,652283.9524180001,POINT (600377.137792 652283.9524180001)
50,600159.609128,648858.18785,POINT (600159.609128 648858.18785)
110,600195.7449899999,649919.004013,POINT (600195.7449899999 649919.0040130001)
159,601162.302202,652195.8456550001,POINT (601162.302202 652195.8456550001)
126,601159.1447470001,650051.779337,POINT (601159.1447470001 650051.779337)
71,600159.609128,648858.18785,POINT (600159.609128 648858.18785)
200,601153.1661800001,651525.617877,POINT (601153.1661800001 651525.617877)
35,600373.529431,653390.3148520001,POINT (600373.529431 653390.3148520001)
171,601326.463487,650448.298249,POINT (601326.463487 650448.298249)
197,600660.717662,651332.288618,POINT (600660.717662 651332.288618)
58,601326.463487,650448.298249,POINT (601326.463487 650448.298249)
125,601153.1661800001,651525.617877,POINT (601153.1661800001 651525.617877)
72,599903.437672,649510.837157,POINT (599903.437672 649510.837157)
177,600660.717662,651332.288618,POINT (600660.717662 651332.288618)
110,600091.015093,649791.594036,POINT (600091.015093 649791.594036)
71,600255.040228,649027.91859,POINT (600255.040228 649027.91859)
140,600091.015093,649791.594036,POINT (600091.015093 649791.594036)
130,600242.4295020001,652408.177728,POINT (600242.4295020001 652408.177728)
137,600373.529431,653390.3148520001,POINT (600373.529431 653390.3148520001)
179,600242.4295020001,652408.177728,POINT (600242.4295020001 652408.177728)
130,600141.00525,652560.792839,POINT (600141.00525 652560.792839)
58,601197.974211,650615.12061,POINT (601197.974211 650615.12061)
199,599970.87655,651709.309596,POINT (599970.87655 651709.309596)
177,600971.5713109999,652281.334357,POINT (600971.5713109999 652281.334357)
54,600141.00525,652560.792839,POINT (600141.00525 652560.792839)
117,600252.471518,653516.076022,POINT (600252.471518 653516.0760220001)
72,599799.3181520001,649623.683818,POINT (599799.3181520001 649623.683818)
137,600252.471518,653516.076022,POINT (600252.471518 653516.0760220001)
23,599970.87655,651709.309596,POINT (599970.87655 651709.309596)
87,599799.3181520001,649623.683818,POINT (599799.3181520001 649623.683818)
114,600831.599683,650572.761229,POINT (600831.599683 650572.7612290001)
197,600971.5713109999,652281.334357,POINT (600971.5713109999 652281.334357)
201,600410.273702,650778.9884489999,POINT (600410.273702 650778.9884489999)
43,600831.599683,650572.761229,POINT (600831.599683 650572.7612290001)
126,600410.273702,650778.9884489999,POINT (600410.273702 650778.9884489999)
147,600014.747555,651529.208524,POINT (600014.747555 651529.208524)
13,601056.522961,650771.103744,POINT (601056.522961 650771.103744)
58,601056.522961,650771.103744,POINT (601056.522961 650771.103744)
125,600408.470275,652231.456416,POINT (600408.470275 652231.456416)
179,600408.470275,652231.456416,POINT (600408.470275 652231.456416)
199,600014.747555,651529.208524,POINT (600014.747555 651529.208524)
114,600129.08902,651257.23974,POINT (600129.08902 651257.23974)
80,600129.08902,651257.23974,POINT (600129.08902 651257.23974)
117,600361.36907,653379.6494359999,POINT (600361.36907 653379.6494359999)
137,600361.36907,653379.6494359999,POINT (600361.36907 653379.6494359999)
105,600929.818494,650939.285706,POINT (600929.818494 650939.2857060001)
148,600273.755739,652995.73707,POINT (600273.755739 652995.73707)
87,599830.792487,649473.40205,POINT (599830.792487 649473.40205)
147,600135.900138,651388.912008,POINT (600135.900138 651388.912008)
200,600135.900138,651388.912008,POINT (600135.900138 651388.912008)
177,600273.755739,652995.73707,POINT (600273.755739 652995.73707)
144,600102.536634,652381.632529,POINT (600102.536634 652381.6325290001)
72,599830.792487,649473.40205,POINT (599830.792487 649473.40205)
54,600102.536634,652381.632529,POINT (600102.536634 652381.6325290001)
13,600929.818494,650939.285706,POINT (600929.818494 650939.2857060001)
105,600785.2230560001,651092.3587399999,POINT (600785.2230560001 651092.3587399999)
54,600146.523181,652559.518545,POINT (600146.523181 652559.518545)
187,600272.3340609999,650286.9238529999,POINT (600272.3340609999 650286.9238529999)
200,600315.863493,651344.4794569999,POINT (600315.863493 651344.4794569999)
144,600146.523181,652559.518545,POINT (600146.523181 652559.518545)
92,600785.2230560001,651092.3587399999,POINT (600785.2230560001 651092.3587399999)
80,600272.3340609999,650286.9238529999,POINT (600272.3340609999 650286.9238529999)
72,599743.2561369999,649599.5473270001,POINT (599743.2561369999 649599.5473270001)
130,600281.161412,652435.217307,POINT (600281.161412 652435.217307)
92,600639.327129,651244.19277,POINT (600639.327129 651244.19277)
22,600328.443771,651159.539474,POINT (600328.443771 651159.539474)
54,600281.161412,652435.217307,POINT (600281.161412 652435.217307)
200,600328.443771,651159.539474,POINT (600328.443771 651159.539474)
197,600639.327129,651244.19277,POINT (600639.327129 651244.19277)
99,600228.593521,649307.0673189999,POINT (600228.593521 649307.0673189999)
17,600786.767062,652138.9190090001,POINT (600786.767062 652138.9190090001)
187,600228.593521,649307.0673189999,POINT (600228.593521 649307.0673189999)
148,600786.767062,652138.9190090001,POINT (600786.767062 652138.9190090001)
17,600284.643085,653002.162496,POINT (600284.643085 653002.1624959999)
130,600206.120396,652268.043455,POINT (600206.120396 652268.043455)
179,600329.10415,651208.479851,POINT (600329.10415 651208.479851)
22,600329.10415,651208.479851,POINT (600329.10415 651208.479851)
22,600484.5779479999,651059.62361,POINT (600484.5779479999 651059.62361)
148,600284.643085,653002.162496,POINT (600284.643085 653002.1624959999)
79,600498.343063,651400.598293,POINT (600498.343063 651400.598293)
104,600484.5779479999,651059.62361,POINT (600484.5779479999 651059.62361)
197,600498.343063,651400.598293,POINT (600498.343063 651400.598293)
11,600206.120396,652268.043455,POINT (600206.120396 652268.043455)
104,600520.218761,650877.7148600001,POINT (600520.218761 650877.7148600001)
158,601144.6187,650585.8113569999,POINT (601144.6187 650585.8113569999)
179,600378.32108,652205.392234,POINT (600378.32108 652205.392234)
22,601144.6187,650585.8113569999,POINT (601144.6187 650585.8113569999)
11,600378.32108,652205.392234,POINT (600378.32108 652205.392234)
79,600370.8904680001,651568.2140149999,POINT (600370.8904680001 651568.2140149999)
201,600520.218761,650877.7148600001,POINT (600520.218761 650877.7148600001)
72,599864.364593,649505.165203,POINT (599864.364593 649505.165203)
201,600557.309976,651059.333424,POINT (600557.309976 651059.333424)
161,600219.121091,651714.177197,POINT (600219.121091 651714.177197)
158,601485.1670029999,649617.923509,POINT (601485.1670029999 649617.923509)
72,599913.41492,649359.668437,POINT (599913.41492 649359.668437)
179,600542.7866260001,652124.587933,POINT (600542.7866260001 652124.5879329999)
104,600557.309976,651059.333424,POINT (600557.309976 651059.333424)
176,600542.7866260001,652124.587933,POINT (600542.7866260001 652124.5879329999)
9,600905.984259,650013.616277,POINT (600905.984259 650013.6162770001)
79,600219.121091,651714.177197,POINT (600219.121091 651714.177197)
202,599954.78761,649919.609747,POINT (599954.78761 649919.609747)
110,599954.78761,649919.609747,POINT (599954.78761 649919.609747)
118,601485.1670029999,649617.923509,POINT (601485.1670029999 649617.923509)
161,600063.0129869999,651855.490516,POINT (600063.0129869999 651855.490516)
115,600624.821241,650886.69713,POINT (600624.821241 650886.69713)
23,600063.0129869999,651855.490516,POINT (600063.0129869999 651855.490516)
104,600624.821241,650886.69713,POINT (600624.821241 650886.69713)
213,599821.0459029999,650050.220257,POINT (599821.0459029999 650050.2202569999)
176,600685.346454,652009.457805,POINT (600685.346454 652009.457805)
26,600685.346454,652009.457805,POINT (600685.346454 652009.457805)
202,599821.0459029999,650050.220257,POINT (599821.0459029999 650050.2202569999)
72,599905.3288670001,649512.997688,POINT (599905.3288670001 649512.997688)
98,600773.502104,650132.389794,POINT (600773.502104 650132.389794)
9,600773.502104,650132.389794,POINT (600773.502104 650132.389794)
118,600690.866696,650267.436447,POINT (600690.866696 650267.436447)
110,600098.6067199999,649132.313536,POINT (600098.6067199999 649132.313536)
129,600690.866696,650267.436447,POINT (600690.866696 650267.436447)
207,600939.502686,648631.315721,POINT (600939.502686 648631.315721)
26,600817.69322,651882.719553,POINT (600817.69322 651882.7195529999)
115,600630.247813,650701.4092100001,POINT (600630.247813 650701.4092100001)
129,600645.3265770001,650255.798481,POINT (600645.3265770001 650255.798481)
99,600939.502686,648631.315721,POINT (600939.502686 648631.315721)
98,600645.3265770001,650255.798481,POINT (600645.3265770001 650255.798481)
72,599892.7203609999,649359.973935,POINT (599892.7203609999 649359.973935)
45,600098.6067199999,649132.313536,POINT (600098.6067199999 649132.313536)
89,600817.69322,651882.719553,POINT (600817.69322 651882.7195529999)
115,600815.0169060001,650686.528241,POINT (600815.0169060001 650686.528241)
129,599963.6490689999,650991.2696850001,POINT (599963.6490689999 650991.2696850001)
72,599957.709426,649220.8636729999,POINT (599957.709426 649220.8636729999)
123,599963.6490689999,650991.2696850001,POINT (599963.6490689999 650991.2696850001)
23,600030.652318,651647.423264,POINT (600030.652318 651647.423264)
180,600787.689685,651701.948873,POINT (600787.689685 651701.948873)
37,600815.0169060001,650686.528241,POINT (600815.0169060001 650686.528241)
199,600030.652318,651647.423264,POINT (600030.652318 651647.423264)
50,599957.709426,649220.8636729999,POINT (599957.709426 649220.8636729999)
89,600787.689685,651701.948873,POINT (600787.689685 651701.948873)
97,600533.257962,650393.9986810001,POINT (600533.257962 650393.9986810001)
129,600533.257962,650393.9986810001,POINT (600533.257962 650393.9986810001)
193,600977.8138850001,650597.881726,POINT (600977.8138850001 650597.881726)
199,600236.827208,651604.631805,POINT (600236.827208 651604.631805)
161,600236.827208,651604.631805,POINT (600236.827208 651604.631805)
71,600245.76195,648833.420434,POINT (600245.76195 648833.420434)
45,600036.30377,649088.9615409999,POINT (600036.30377 649088.9615409999)
180,600817.565795,651521.157089,POINT (600817.5657949999 651521.157089)
207,600293.621224,649369.46828,POINT (600293.621224 649369.46828)
37,600977.8138850001,650597.881726,POINT (600977.8138850001 650597.881726)
197,600817.565795,651521.157089,POINT (600817.5657949999 651521.157089)
99,600293.621224,649369.46828,POINT (600293.621224 649369.46828)
97,600417.844322,650529.417888,POINT (600417.844322 650529.417888)
50,600036.30377,649088.9615409999,POINT (600036.30377 649088.9615409999)
66,600245.76195,648833.420434,POINT (600245.76195 648833.420434)
66,600369.39222,648682.9838170001,POINT (600369.39222 648682.9838170001)
197,600979.922977,651436.195943,POINT (600979.922977 651436.195943)
161,600444.016039,651642.2081619999,POINT (600444.016039 651642.2081619999)
158,601128.643571,650490.125209,POINT (601128.643571 650490.125209)
79,600444.016039,651642.2081619999,POINT (600444.016039 651642.2081619999)
193,601128.643571,650490.125209,POINT (601128.643571 650490.125209)
221,600203.682856,649993.690708,POINT (600203.682856 649993.690708)
123,600203.682856,649993.690708,POINT (600203.682856 649993.690708)
137,600407.311058,653211.244496,POINT (600407.311058 653211.244496)
45,599985.0770449999,648944.2167100001,POINT (599985.0770449999 648944.2167100001)
35,600407.311058,653211.244496,POINT (600407.311058 653211.244496)
32,600979.922977,651436.195943,POINT (600979.922977 651436.195943)
219,600369.39222,648682.9838170001,POINT (600369.39222 648682.9838170001)
221,599987.571627,648990.6573229999,POINT (599987.571627 648990.6573229999)
158,601133.2362340001,650304.814745,POINT (601133.2362340001 650304.814745)
79,600582.69428,651483.7545729999,POINT (600582.6942800001 651483.7545729999)
32,601152.905796,651375.737733,POINT (601152.905796 651375.737733)
219,600554.549634,648743.252808,POINT (600554.5496340001 648743.252808)
35,600387.8065739999,653037.778462,POINT (600387.8065739999 653037.778462)
45,599987.571627,648990.6573229999,POINT (599987.571627 648990.6573229999)
